,wikipedia,key,remote_ids,created,birth_date,name,latest_revision,last_modified,alternate_names,type,photos,revision,personal_name,death_date,source_records,id,bio,links,title,data,date,fuller_name,location,authors_key
4285,,/authors/OL9165006A,,"{'type': '/type/datetime', 'value': '2021-04-29T03:06:43.446517'}",,Margaret Cavendish Duchess o Newcastle,1.0,"{'type': '/type/datetime', 'value': '2021-04-29T03:06:43.446517'}",,{'key': '/type/author'},,1,,,['amazon:0343031280'],,,,,,,,,/authors/OL9165006A
4286,,/authors/OL1097331A,,,,William Peck,,"{'type': '/type/datetime', 'value': '2008-08-19 13:39:30.128155'}",,{'key': '/type/author'},,2,William Peck,,,3555868.0,,,,,,,,/authors/OL1097331A
4287,,/authors/OL6554946A,,"{'type': '/type/datetime', 'value': '2009-01-31T10:10:26.893834'}",,John Newton Boucher,,"{'type': '/type/datetime', 'value': '2009-01-31T10:10:26.893834'}",,{'key': '/type/author'},,1,John Newton Boucher,,,33601464.0,,,,,,,,/authors/OL6554946A
4288,,/authors/OL9098277A,,"{'type': '/type/datetime', 'value': '2021-02-05T02:22:34.539418'}",,John W. 1840-1921 Jordan,1.0,"{'type': '/type/datetime', 'value': '2021-02-05T02:22:34.539418'}",,{'key': '/type/author'},,1,,,['amazon:0342806203'],,,,,,,,,/authors/OL9098277A
4289,,/authors/OL5525641A,,"{'type': '/type/datetime', 'value': '2008-10-18T23:10:56.267234'}",,George Austin Morrison,,"{'type': '/type/datetime', 'value': '2008-10-18T23:10:56.267234'}",,{'key': '/type/author'},,1,George Austin Morrison,,,28265078.0,,,,,,,,/authors/OL5525641A
4290,,/authors/OL5525641A,,"{'type': '/type/datetime', 'value': '2008-10-18T23:10:56.267234'}",,George Austin Morrison,,"{'type': '/type/datetime', 'value': '2008-10-18T23:10:56.267234'}",,{'key': '/type/author'},,1,George Austin Morrison,,,28265078.0,,,,,,,,/authors/OL5525641A
4291,,/authors/OL4025533A,,,,R Torres,,"{'type': '/type/datetime', 'value': '2008-04-30 20:50:18.033121'}",,{'key': '/type/author'},,1,,,,16803320.0,,,,,,,,/authors/OL4025533A
4292,,/authors/OL4025533A,,,,R Torres,,"{'type': '/type/datetime', 'value': '2008-04-30 20:50:18.033121'}",,{'key': '/type/author'},,1,,,,16803320.0,,,,,,,,/authors/OL4025533A
4293,,/authors/OL9281500A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:51:11.342950'}",,Sheldon Brainerd Thorpe,1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:51:11.342950'}",,{'key': '/type/author'},,1,,,['amazon:0342802062'],,,,,,,,,/authors/OL9281500A
4294,,/authors/OL9281500A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:51:11.342950'}",,Sheldon Brainerd Thorpe,1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:51:11.342950'}",,{'key': '/type/author'},,1,,,['amazon:0342802062'],,,,,,,,,/authors/OL9281500A
4295,,/authors/OL5805224A,,"{'type': '/type/datetime', 'value': '2008-10-23T15:55:26.380756'}",,Christoph von Schmid,,"{'type': '/type/datetime', 'value': '2008-10-23T15:55:26.380756'}",,{'key': '/type/author'},,1,Christoph von Schmid,,,29601957.0,,,,,,,,/authors/OL5805224A
